,Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
0,tacrolimus,CYP3A5,Normal Metabolizer,None,None,Increase starting dose 1.5 to 2 times recommended starting dose. Total starting dose should not exceed 0.3 mg/kg/day. Use therapeutic drug monitoring to guide dose adjustments.
1,tacrolimus,CYP3A5,Intermediate Metabolizer,None,None,Increase starting dose 1.5 to 2 times recommended starting dose. Total starting dose should not exceed 0.3 mg/kg/day. Use therapeutic drug monitoring to guide dose adjustments.
2,tacrolimus,CYP3A5,Possible Intermediate Metabolizer,None,None,None
3,tacrolimus,CYP3A5,Poor Metabolizer,None,None,Initiate therapy with standard recommended dose. Use therapeutic drug monitoring to guide dose adjustments.
4,tacrolimus,CYP3A5,Indeterminate,None,None,None
5,efavirenz,CYP2B6,Ultrarapid Metabolizer,None,None,Initiate efavirenz with standard dosing (600 mg/day).
6,efavirenz,CYP2B6,Rapid Metabolizer,None,None,Initiate efavirenz with standard dosing (600 mg/day).
7,efavirenz,CYP2B6,Normal Metabolizer,None,None,Initiate efavirenz with standard dosing (600 mg/day).
8,efavirenz,CYP2B6,Intermediate Metabolizer,None,None,Consider initiating efavirenz with decreased dose of 400 mg/day.
9,efavirenz,CYP2B6,Poor Metabolizer,None,None,Consider initiating efavirenz with decreased dose of 400 or 200 mg/day.
10,efavirenz,CYP2B6,Indeterminate,None,None,None
11,meloxicam,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
12,meloxicam,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the meloxicam prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
13,meloxicam,CYP2C9,Poor Metabolizer,None,None,"Choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life (see CPIC THERAPEUTIC RECOMMENDATIONS FOR CELECOXIB, FLURBIPROFEN, LORNOXICAM, AND IBUPROFEN BASED ON CYP2C9 PHENOTYPE)."
14,meloxicam,CYP2C9,Indeterminate,None,None,None
15,piroxicam,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
16,piroxicam,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
17,piroxicam,CYP2C9,Poor Metabolizer,None,None,"Choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life (see CPIC THERAPEUTIC RECOMMENDATIONS FOR CELECOXIB, FLURBIPROFEN, LORNOXICAM, AND IBUPROFEN BASED ON CYP2C9 PHENOTYPE)."
18,piroxicam,CYP2C9,Indeterminate,None,None,None
19,tenoxicam,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
20,tenoxicam,CYP2C9,Intermediate Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
21,tenoxicam,CYP2C9,Poor Metabolizer,None,None,"Choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life (see CPIC THERAPEUTIC RECOMMENDATIONS FOR CELECOXIB, FLURBIPROFEN, LORNOXICAM, AND IBUPROFEN BASED ON CYP2C9 PHENOTYPE)."
22,tenoxicam,CYP2C9,Indeterminate,None,None,None
23,celecoxib,CYP2C9,Normal Metabolizer,None,None,"Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals."
