number	name	type	paralog	control	transcript	chr	strand	hg19_start	hg19_end	upstream	downstream	exon_starts	exon_ends	masked_starts	masked_ends	pv_refseq	cdc_start	pv_member	pv_transcript	cnsr	dpsv_member	function
1	cacna1s	target	.	no	NM_000069.2	chr1	-	201008639	201081694	3000	3000	201008639,201009358,201009749,201010631,201012408,201013455,201016242,201016652,201017709,201018130,201019516,201020111,201021684,201022336,201022586,201023632,201027535,201028316,201029785,201030394,201031071,201031589,201034965,201035356,201036014,201038264,201038599,201039399,201041882,201042676,201043633,201044622,201046047,201047006,201052289,201054077,201054563,201056953,201058385,201060767,201061099,201063009,201079291,201081315,	201009210,201009502,201009841,201010717,201012659,201013584,201016367,201016754,201017812,201018227,201019644,201020271,201021776,201022402,201022715,201023689,201027619,201028427,201029944,201030596,201031218,201031642,201035073,201035444,201036121,201038324,201038729,201039532,201041952,201042770,201043748,201044743,201046255,201047232,201052450,201054159,201054709,201057057,201058591,201060920,201061242,201063149,201079397,201081694,	.	.	.	.	no	.	.	no	target
2	cftr	target	.	no	NM_000492.3	chr7	+	117120016	117308719	3000	3000	117120016,117144306,117149087,117170952,117174329,117175301,117176601,117180153,117182069,117188694,117199517,117227792,117230406,117231987,117234983,117242879,117243585,117246727,117250572,117251634,117254666,117267575,117282491,117292895,117304741,117305512,117306961,	117120201,117144417,117149196,117171168,117174419,117175465,117176727,117180400,117182162,117188877,117199709,117227887,117230493,117232711,117235112,117242917,117243836,117246807,117250723,117251862,117254767,117267824,117282647,117292985,117304914,117305618,117308719,	.	.	.	.	no	.	.	no	target
3	cyp1a1	target	.	no	NM_000499.4	chr15	-	75011882	75017951	3000	3000	75011882,75013307,75013539,75013754,75013931,75014613,75017781,	75013115,75013394,75013663,75013844,75014058,75015464,75017951,	.	.	.	.	yes	.	.	no	metabolism
4	cyp1a2	target	.	no	NM_000761.4	chr15	+	75041183	75048941	3000	3000	75041183,75042070,75043529,75044105,75044464,75045524,75047131,	75041238,75042910,75043650,75044195,75044588,75045611,75048941,	.	.	.	.	yes	.	.	no	metabolism
5	cyp1b1	target	.	no	NM_000104.3	chr2	-	38294745	38303323	3000	3000	38294745,38301488,38302922,	38298453,38302532,38303323,	.	.	.	.	yes	.	.	no	metabolism
6	cyp2a6	target	cyp2a7	no	NM_000762.5	chr19	-	41349442	41356352	10000	40000	41349442,41350535,41351198,41351860,41352779,41354123,41354518,41355722,41356151,	41349882,41350677,41351386,41352002,41352956,41354284,41354668,41355885,41356352,	41347924,	41348536,	.	.	yes	.	chr19:41393352-41396352	yes	metabolism
7	cyp2a7	paralog	.	no	NM_000764.2	chr19	-	41381343	41388657	0	0	41381343,41382431,41383094,41383756,41384664,41385988,41386383,41387493,41387935,	41381779,41382573,41383282,41383898,41384841,41386149,41386533,41387656,41388657,	.	.	.	.	no	.	.	no	.
8	cyp2a13	target	.	no	NM_000766.4	chr19	+	41594355	41602100	20000	20000	41594355,41594833,41595951,41596308,41597636,41599534,41600149,41600863,41601664,	41594556,41594996,41596101,41596469,41597813,41599676,41600337,41601005,41602100,	.	.	NG_007928.1	5010	yes	NM_000766.4	.	no	metabolism
9	cyp2b6	target	cyp2b7	no	NM_000767.4	chr19	+	41497203	41524301	70000	10000	41497203,41509905,41510201,41512809,41515123,41515898,41518202,41518578,41522550,	41497381,41510068,41510351,41512970,41515300,41516040,41518390,41518720,41524301,	.	.	.	.	yes	.	chr19:41530301-41534301	yes	metabolism
10	cyp2b7	paralog	.	no	NR_001278.1	chr19	+	41430169	41456565	0	0	41430169,41442001,41442296,41444873,41447200,41447969,41450235,41450615,41454957,	41430348,41442164,41442446,41445034,41447377,41448111,41450423,41450757,41456565,	.	.	.	.	no	.	.	no	.
